filename, button, field, heading, iframe, image, label, link, text
thinkwithgoogle_com_png.rf.0e3CasnPbMEGQSO8oMHB.jpg, 1, 1, 1, 0, 1, 0, 1, 1
urlzs_com_png.rf.0ea1b14c371dff348e9bba2948d8e986.jpg, 1, 0, 0, 0, 1, 0, 0, 1
amazon_com_png.rf.0oB8qzojBS2Tklffo69l.jpg, 1, 1, 1, 1, 1, 0, 1, 1
asahi_com_png.rf.120e05a147314b2805e7bad82dafca78.jpg, 1, 0, 1, 1, 1, 0, 1, 1
buymeacoffee_com_png.rf.0vBkaAYTkLI6YlTz5Gqu.jpg, 1, 1, 1, 0, 1, 0, 0, 1
lavanguardia_com_png.rf.1070b85a3d6b62256b2ff890566e8fc5.jpg, 1, 0, 1, 0, 1, 0, 1, 1
m21_hk_png.rf.109d9b2f030d934146f5f891c2831f2f.jpg, 1, 1, 0, 1, 1, 0, 1, 1
research_google_com_png.rf.10307db36adb8bc5b8dafc50ea34ba79.jpg, 1, 0, 1, 0, 1, 0, 1, 1
news_yahoo_com_png.rf.128e6475d469b4da335d6c435ce2a8e2.jpg, 1, 1, 1, 0, 1, 0, 1, 1
mysql_com_png.rf.0f858eb91c1d646c107a586e55130b49.jpg, 1, 1, 1, 0, 1, 0, 1, 1
telegram_me_png.rf.1180c45e4299f79628ecacf99da1e78e.jpg, 1, 0, 0, 0, 1, 0, 1, 1
gopro_com_png.rf.0ff9f210a39bbfaee97372562cb71daf.jpg, 1, 0, 1, 0, 1, 0, 1, 1
fusion_net_png.rf.0fPsz0ez97gvhGoKfxsa.jpg, 1, 0, 1, 0, 1, 0, 1, 1
newegg_com_png.rf.11c21aa37e7701aabcff9f60acdde664.jpg, 0, 0, 1, 1, 1, 0, 1, 1
gizmodo_com_png.rf.11a1c80a4320be83035aee68d3491185.jpg, 1, 0, 1, 0, 1, 0, 1, 1
bitpay_com_png.rf.0e1dd45147e6b7daa0147d360421d3f9.jpg, 1, 0, 1, 0, 1, 0, 1, 1
